epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.8638,1.16094,2.72822,1.57205,0.59132,0.08474,0.42326,0.2407,1.17494,3.12441,1.7272,0.000465508,0.000465508,0.000465508
2,158.124,1.06807,2.05224,1.45944,0.28851,0.3407,0.33753,0.17965,1.44354,3.1219,2.18944,0.000930186,0.000930186,0.000930186
3,239.498,1.11968,2.00122,1.51224,0.57422,0.25718,0.2173,0.10579,2.16471,4.81905,2.80464,0.00138307,0.00138307,0.00138307
4,311.954,1.11618,1.91472,1.50271,0.4636,0.45819,0.4342,0.24381,1.41147,2.61337,1.97319,0.00137595,0.00137595,0.00137595
5,383.831,1.11023,1.77782,1.48975,0.5674,0.50805,0.50032,0.2503,1.50746,2.24291,2.12707,0.00135826,0.00135826,0.00135826
6,532.343,1.07649,1.69317,1.47318,0.5342,0.56391,0.50111,0.28886,1.35432,2.16533,1.86259,0.00134058,0.00134058,0.00134058
7,7683.78,1.08696,1.66903,1.4614,0.48428,0.43053,0.4776,0.27753,1.27446,2.2529,1.84452,0.0013229,0.0013229,0.0013229
8,11383.7,1.03481,1.61247,1.41541,0.67584,0.44332,0.47805,0.2745,1.3344,2.00451,1.83718,0.00130521,0.00130521,0.00130521
9,14941.9,0.96575,1.45156,1.40123,0.46145,0.64671,0.48346,0.28584,1.31372,1.95073,1.82947,0.00128753,0.00128753,0.00128753
10,15015.3,0.97203,1.39255,1.37407,0.53311,0.55308,0.54055,0.32495,1.21664,1.85216,1.69708,0.00126985,0.00126985,0.00126985
11,15088.1,0.96051,1.34366,1.37828,0.60049,0.64094,0.66294,0.41723,1.18251,1.9454,1.65353,0.00125216,0.00125216,0.00125216
12,15162.9,0.91733,1.25713,1.34532,0.56567,0.61257,0.60784,0.41365,1.08391,1.5703,1.616,0.00123448,0.00123448,0.00123448
13,15237,0.9045,1.21902,1.33103,0.70071,0.68225,0.69595,0.47716,1.01749,1.35366,1.51116,0.00121679,0.00121679,0.00121679
14,15306.8,0.87062,1.22649,1.3104,0.61341,0.67227,0.67375,0.46308,1.09409,1.55054,1.611,0.00119911,0.00119911,0.00119911
15,15377.3,0.87368,1.14113,1.30779,0.7419,0.59274,0.73237,0.50086,0.97695,1.29169,1.49927,0.00118143,0.00118143,0.00118143
16,15446.5,0.89258,1.11915,1.31295,0.63492,0.57597,0.61376,0.42602,0.94867,1.73928,1.44055,0.00116374,0.00116374,0.00116374
17,15515.1,0.84751,1.07683,1.27329,0.56655,0.6664,0.65391,0.4276,1.13412,1.2863,1.6323,0.00114606,0.00114606,0.00114606
18,15584,0.81926,1.06963,1.26668,0.6613,0.67671,0.68041,0.45724,1.08146,1.3819,1.56577,0.00112837,0.00112837,0.00112837
19,15652,0.7689,1.00681,1.23346,0.47822,0.67849,0.56903,0.38087,1.08187,1.81354,1.61748,0.00111069,0.00111069,0.00111069
20,15720.6,0.81543,0.98859,1.25793,0.58431,0.68575,0.61003,0.44881,0.88441,1.53171,1.37879,0.00109301,0.00109301,0.00109301
21,15790,0.76471,0.99513,1.23779,0.54677,0.6669,0.63807,0.39654,1.02933,1.50134,1.55314,0.00107532,0.00107532,0.00107532
22,15858.3,0.7546,0.93374,1.2313,0.59119,0.75518,0.71452,0.50046,0.98607,1.26041,1.46988,0.00105764,0.00105764,0.00105764
23,15926.8,0.76453,0.95049,1.24019,0.65523,0.71034,0.70845,0.51519,0.93663,1.18766,1.44244,0.00103995,0.00103995,0.00103995
24,15995.4,0.74913,0.9077,1.21517,0.69024,0.76256,0.80659,0.56696,0.95616,1.01826,1.43912,0.00102227,0.00102227,0.00102227
25,16063.9,0.74859,0.91846,1.22168,0.69373,0.71816,0.72979,0.51236,0.90993,1.15401,1.43687,0.00100459,0.00100459,0.00100459
26,16132.1,0.76309,0.93976,1.24039,0.66734,0.72244,0.72814,0.48551,1.01666,1.1672,1.52294,0.000986903,0.000986903,0.000986903
27,16200.7,0.73009,0.90521,1.20948,0.72566,0.74349,0.73458,0.50626,0.96558,1.04493,1.49363,0.000969219,0.000969219,0.000969219
28,16268.8,0.73323,0.85156,1.20759,0.7393,0.74905,0.76778,0.56695,0.89919,1.0687,1.38026,0.000951535,0.000951535,0.000951535
29,16337.1,0.7245,0.88218,1.202,0.59146,0.76506,0.72781,0.53755,0.89454,1.06728,1.37717,0.000933851,0.000933851,0.000933851
30,16404.9,0.69546,0.84587,1.18942,0.65527,0.71932,0.73756,0.51231,0.93039,1.15662,1.46921,0.000916168,0.000916168,0.000916168
31,16477.1,0.66736,0.82086,1.15993,0.7414,0.67806,0.72572,0.53778,0.89659,1.12169,1.40896,0.000898484,0.000898484,0.000898484
32,16547.2,0.66051,0.78797,1.15824,0.7644,0.63148,0.72741,0.53141,0.90357,1.16296,1.41891,0.0008808,0.0008808,0.0008808
33,16617.8,0.67928,0.77209,1.17776,0.69924,0.74627,0.73185,0.53176,0.91958,1.13096,1.45683,0.000863116,0.000863116,0.000863116
34,16690.2,0.6645,0.78377,1.16225,0.71729,0.70514,0.7176,0.53021,0.90173,1.15294,1.44871,0.000845432,0.000845432,0.000845432
35,16764,0.64384,0.71571,1.15972,0.73095,0.74872,0.78459,0.578,0.84647,1.15004,1.36301,0.000827748,0.000827748,0.000827748
36,16835,0.68343,0.79557,1.188,0.74034,0.75798,0.76074,0.57543,0.85507,1.26424,1.38105,0.000810064,0.000810064,0.000810064
37,16906.5,0.63861,0.75253,1.15034,0.68892,0.66515,0.66475,0.47956,0.95224,1.21516,1.43809,0.00079238,0.00079238,0.00079238
38,16978.9,0.64555,0.73842,1.14732,0.75661,0.8037,0.81279,0.61019,0.85205,1.05449,1.35253,0.000774697,0.000774697,0.000774697
39,17048.3,0.6115,0.71725,1.13794,0.59279,0.70007,0.70317,0.53203,0.87525,1.21298,1.42451,0.000757013,0.000757013,0.000757013
40,17117.1,0.61844,0.71838,1.1491,0.75443,0.80539,0.83422,0.62383,0.84848,0.90728,1.38245,0.000739329,0.000739329,0.000739329
41,17190.9,0.62237,0.6899,1.13339,0.71448,0.70083,0.75622,0.57348,0.8315,1.13203,1.31651,0.000721645,0.000721645,0.000721645
