lf,image_id,task,vote,confidence,reason,source,path,pred_class,fold
lf4_crown,BudRot006,4_crown_disease,1,0.9997100234031676,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Rot/BudRot006.jpg,budrot,0
lf4_crown,BudRot009,4_crown_disease,1,0.9996520280838012,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Rot/BudRot009.jpg,budrot,0
lf4_crown,BudRot013,4_crown_disease,1,0.9999066591262816,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Rot/BudRot013.jpg,budrot,0
lf4_crown,BudRot028,4_crown_disease,1,0.9998787641525269,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Rot/BudRot028.jpg,budrot,0
lf4_crown,BudRot033,4_crown_disease,1,0.9999208450317384,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Rot/BudRot033.jpg,budrot,0
lf4_crown,BudRot039,4_crown_disease,1,0.9998879432678224,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Rot/BudRot039.jpg,budrot,0
lf4_crown,BudRot041,4_crown_disease,1,0.9999009370803832,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Rot/BudRot041.jpg,budrot,0
lf4_crown,BudRot043,4_crown_disease,1,0.9998517036437988,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Rot/BudRot043.jpg,budrot,0
lf4_crown,BudRot047,4_crown_disease,1,0.9998838901519777,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Rot/BudRot047.jpg,budrot,0
lf4_crown,BudRot048,4_crown_disease,1,0.9998743534088136,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Rot/BudRot048.jpg,budrot,0
lf4_crown,BudRot049,4_crown_disease,1,0.9999455213546752,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Rot/BudRot049.jpg,budrot,0
lf4_crown,BudRot063,4_crown_disease,1,0.999778926372528,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Rot/BudRot063.jpg,budrot,0
lf4_crown,BudRot067,4_crown_disease,1,0.9995304346084596,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Rot/BudRot067.jpg,budrot,0
lf4_crown,BudRot068,4_crown_disease,1,0.9997875094413756,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Rot/BudRot068.jpg,budrot,0
lf4_crown,BudRot069,4_crown_disease,1,0.9998469352722168,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Rot/BudRot069.jpg,budrot,0
lf4_crown,BudRot070,4_crown_disease,1,0.9999860525131226,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Rot/BudRot070.jpg,budrot,0
lf4_crown,BudRot081,4_crown_disease,1,0.999984860420227,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Rot/BudRot081.jpg,budrot,0
lf4_crown,BudRot088,4_crown_disease,1,0.9999852180480956,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Rot/BudRot088.jpg,budrot,0
lf4_crown,BudRot096,4_crown_disease,1,0.9999769926071168,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Rot/BudRot096.jpg,budrot,0
