lf,image_id,task,vote,confidence,reason,source,path,pred_class,fold
lf2_foliar,GrayLeafSpot004,2_foliar_disease,1,0.999970555305481,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot004.jpg,gls,0
lf2_foliar,GrayLeafSpot007,2_foliar_disease,1,0.9998878240585328,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot007.jpg,gls,0
lf2_foliar,GrayLeafSpot016,2_foliar_disease,1,0.9998859167099,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot016.jpg,gls,0
lf2_foliar,GrayLeafSpot020,2_foliar_disease,1,0.9999932050704956,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot020.jpg,gls,0
lf2_foliar,GrayLeafSpot023,2_foliar_disease,1,0.9999982118606568,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot023.jpg,gls,0
lf2_foliar,GrayLeafSpot024,2_foliar_disease,1,0.9999969005584716,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot024.jpg,gls,0
lf2_foliar,GrayLeafSpot026,2_foliar_disease,1,0.999997615814209,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot026.jpg,gls,0
lf2_foliar,GrayLeafSpot035,2_foliar_disease,1,0.999830961227417,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot035.jpg,gls,0
lf2_foliar,GrayLeafSpot036,2_foliar_disease,1,0.999893307685852,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot036.jpg,gls,0
lf2_foliar,GrayLeafSpot040,2_foliar_disease,1,0.9987999200820924,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot040.jpg,gls,0
lf2_foliar,GrayLeafSpot047,2_foliar_disease,1,0.999815046787262,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot047.jpg,gls,0
lf2_foliar,GrayLeafSpot053,2_foliar_disease,1,0.9999746084213256,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot053.jpg,gls,0
lf2_foliar,GrayLeafSpot054,2_foliar_disease,1,0.9999834299087524,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot054.jpg,gls,0
lf2_foliar,GrayLeafSpot055,2_foliar_disease,1,0.9999964237213136,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot055.jpg,gls,0
lf2_foliar,GrayLeafSpot060,2_foliar_disease,1,0.9999078512191772,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot060.jpg,gls,0
lf2_foliar,GrayLeafSpot069,2_foliar_disease,1,0.9999878406524658,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot069.jpg,gls,0
lf2_foliar,GrayLeafSpot077,2_foliar_disease,1,0.9999834299087524,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot077.jpg,gls,0
lf2_foliar,GrayLeafSpot078,2_foliar_disease,1,0.9999281167984008,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot078.jpg,gls,0
lf2_foliar,GrayLeafSpot082,2_foliar_disease,1,0.9999933242797852,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot082.jpg,gls,0
lf2_foliar,GrayLeafSpot089,2_foliar_disease,1,0.9999892711639404,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot089.jpg,gls,0
lf2_foliar,GrayLeafSpot095,2_foliar_disease,1,0.9999986886978148,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot095.jpg,gls,0
lf2_foliar,GrayLeafSpot097,2_foliar_disease,1,0.9999786615371704,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot097.jpg,gls,0
lf2_foliar,GrayLeafSpot099,2_foliar_disease,1,0.9997753500938416,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot099.jpg,gls,0
lf2_foliar,GrayLeafSpot1004,2_foliar_disease,1,0.999659776687622,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1004.jpg,gls,0
lf2_foliar,GrayLeafSpot1011,2_foliar_disease,1,0.999925136566162,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1011.jpg,gls,0
lf2_foliar,GrayLeafSpot1016,2_foliar_disease,1,0.9998624324798584,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1016.jpg,gls,0
lf2_foliar,GrayLeafSpot1019,2_foliar_disease,1,0.9999179840087892,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1019.jpg,gls,0
lf2_foliar,GrayLeafSpot1026,2_foliar_disease,1,0.9999691247940063,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1026.jpg,gls,0
lf2_foliar,GrayLeafSpot1028,2_foliar_disease,1,0.9999834299087524,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1028.jpg,gls,0
lf2_foliar,GrayLeafSpot1032,2_foliar_disease,1,0.9999996423721312,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1032.jpg,gls,0
lf2_foliar,GrayLeafSpot1037,2_foliar_disease,1,0.9999996423721312,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1037.jpg,gls,0
lf2_foliar,GrayLeafSpot104,2_foliar_disease,1,0.9999836683273317,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot104.jpg,gls,0
lf2_foliar,GrayLeafSpot1050,2_foliar_disease,1,0.9999998807907104,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1050.jpg,gls,0
lf2_foliar,GrayLeafSpot1051,2_foliar_disease,1,0.9999998807907104,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1051.jpg,gls,0
lf2_foliar,GrayLeafSpot1053,2_foliar_disease,1,1.0,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1053.jpg,gls,0
lf2_foliar,GrayLeafSpot1055,2_foliar_disease,1,0.9999995231628418,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1055.jpg,gls,0
lf2_foliar,GrayLeafSpot1063,2_foliar_disease,1,0.9998936653137208,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1063.jpg,gls,0
lf2_foliar,GrayLeafSpot1066,2_foliar_disease,1,0.9999979734420776,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1066.jpg,gls,0
lf2_foliar,GrayLeafSpot107,2_foliar_disease,1,0.9999802112579346,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot107.jpg,gls,0
lf2_foliar,GrayLeafSpot1076,2_foliar_disease,1,0.99998939037323,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1076.jpg,gls,0
lf2_foliar,GrayLeafSpot1077,2_foliar_disease,1,0.9999918937683104,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1077.jpg,gls,0
lf2_foliar,GrayLeafSpot1081,2_foliar_disease,1,0.9999970197677612,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1081.jpg,gls,0
lf2_foliar,GrayLeafSpot1083,2_foliar_disease,1,0.9999927282333374,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1083.jpg,gls,0
lf2_foliar,GrayLeafSpot1085,2_foliar_disease,1,0.9999936819076538,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1085.jpg,gls,0
lf2_foliar,GrayLeafSpot1089,2_foliar_disease,1,0.9999927282333374,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1089.jpg,gls,0
lf2_foliar,GrayLeafSpot1093,2_foliar_disease,1,0.9999953508377076,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1093.jpg,gls,0
lf2_foliar,GrayLeafSpot1096,2_foliar_disease,1,0.999902367591858,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1096.jpg,gls,0
lf2_foliar,GrayLeafSpot1097,2_foliar_disease,1,0.9999070167541504,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1097.jpg,gls,0
lf2_foliar,GrayLeafSpot1098,2_foliar_disease,1,0.999942660331726,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1098.jpg,gls,0
lf2_foliar,GrayLeafSpot1103,2_foliar_disease,1,0.999967098236084,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1103.jpg,gls,0
lf2_foliar,GrayLeafSpot1109,2_foliar_disease,1,0.9999709129333496,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1109.jpg,gls,0
lf2_foliar,GrayLeafSpot1112,2_foliar_disease,1,0.9999741315841676,,coconut-tree-disease,Coconut Tree Disease Dataset/Gray Leaf Spot/GrayLeafSpot1112.jpg,gls,0
