lf,image_id,task,vote,confidence,reason,source,path,pred_class,fold
lf5_petiole,BudRootDropping001,5_petiole,1,0.999976396560669,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping001.jpg,budroot,0
lf5_petiole,BudRootDropping014,5_petiole,1,0.9999923706054688,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping014.jpg,budroot,0
lf5_petiole,BudRootDropping020,5_petiole,1,0.9999998807907104,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping020.jpg,budroot,0
lf5_petiole,BudRootDropping022,5_petiole,1,1.0,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping022.jpg,budroot,0
lf5_petiole,BudRootDropping045,5_petiole,1,0.9999998807907104,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping045.jpg,budroot,0
lf5_petiole,BudRootDropping051,5_petiole,1,0.9999969005584716,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping051.jpg,budroot,0
lf5_petiole,BudRootDropping053,5_petiole,1,0.9999964237213136,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping053.jpg,budroot,0
lf5_petiole,BudRootDropping061,5_petiole,1,0.9999996423721312,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping061.jpg,budroot,0
lf5_petiole,BudRootDropping067,5_petiole,1,0.9999953508377076,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping067.jpg,budroot,0
lf5_petiole,BudRootDropping080,5_petiole,1,0.9999982118606568,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping080.jpg,budroot,0
lf5_petiole,BudRootDropping086,5_petiole,1,0.9999995231628418,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping086.jpg,budroot,0
lf5_petiole,BudRootDropping088,5_petiole,1,0.9999998807907104,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping088.jpg,budroot,0
lf5_petiole,BudRootDropping096,5_petiole,1,0.9999990463256836,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping096.jpg,budroot,0
lf5_petiole,BudRootDropping098,5_petiole,1,1.0,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping098.jpg,budroot,0
lf5_petiole,BudRootDropping100,5_petiole,1,1.0,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping100.jpg,budroot,0
lf5_petiole,BudRootDropping109,5_petiole,1,1.0,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping109.jpg,budroot,0
lf5_petiole,BudRootDropping110,5_petiole,1,0.9999998807907104,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping110.jpg,budroot,0
lf5_petiole,BudRootDropping111,5_petiole,1,0.9999997615814208,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping111.jpg,budroot,0
lf5_petiole,BudRootDropping113,5_petiole,1,0.9999994039535522,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping113.jpg,budroot,0
lf5_petiole,BudRootDropping114,5_petiole,1,0.9999996423721312,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping114.jpg,budroot,0
lf5_petiole,BudRootDropping115,5_petiole,1,0.9999998807907104,,coconut-tree-disease,Coconut Tree Disease Dataset/Bud Root Dropping/BudRootDropping115.jpg,budroot,0
