epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.0169,1.12727,2.63539,1.52542,0.42852,0.32031,0.39573,0.24249,0.96695,2.97426,1.49923,0.000466807,0.000466807,0.000466807
2,153.05,1.07582,2.10161,1.50697,0.40978,0.4491,0.36933,0.18089,1.38045,3.18918,2.01605,0.000931469,0.000931469,0.000931469
3,230.427,1.13443,1.96161,1.51418,0.21946,0.50228,0.27421,0.11241,1.66628,5.22152,2.51804,0.00138434,0.00138434,0.00138434
4,304.986,1.16046,1.98284,1.5357,0.66287,0.41816,0.43193,0.26224,1.31674,2.52646,1.8675,0.00137595,0.00137595,0.00137595
5,378.51,1.0829,1.7714,1.45836,0.32792,0.39117,0.37934,0.22111,1.37036,2.53719,1.97779,0.00135826,0.00135826,0.00135826
6,453.928,1.08986,1.65636,1.4722,0.36547,0.58653,0.36031,0.19769,1.30437,2.54977,1.77914,0.00134058,0.00134058,0.00134058
7,527.799,1.01336,1.55764,1.42336,0.32206,0.42963,0.38871,0.23476,1.30016,2.03462,1.80246,0.0013229,0.0013229,0.0013229
8,602.488,1.02193,1.49183,1.42622,0.44289,0.43782,0.41968,0.24333,1.37244,1.9701,1.92816,0.00130521,0.00130521,0.00130521
9,676.996,0.99869,1.46816,1.40273,0.4748,0.51866,0.50674,0.30204,1.26183,1.90971,1.80916,0.00128753,0.00128753,0.00128753
10,750.959,0.99098,1.38548,1.37208,0.40152,0.53544,0.46867,0.27336,1.26623,2.25369,1.80441,0.00126985,0.00126985,0.00126985
11,824.328,0.96014,1.31157,1.3661,0.58815,0.60726,0.57953,0.37088,1.10451,1.50457,1.60723,0.00125216,0.00125216,0.00125216
12,897.955,0.91326,1.24838,1.32908,0.47301,0.55193,0.51577,0.34317,1.12077,1.61653,1.65471,0.00123448,0.00123448,0.00123448
13,970.958,0.93152,1.23998,1.34604,0.64272,0.63089,0.66645,0.43372,1.04209,1.40602,1.57013,0.00121679,0.00121679,0.00121679
14,1044.73,0.93477,1.18623,1.33988,0.53269,0.57653,0.55124,0.35434,1.19505,1.72363,1.74379,0.00119911,0.00119911,0.00119911
