epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.8217,1.14142,2.67765,1.53594,0.20792,0.10083,0.23873,0.14407,0.92464,3.19065,1.4569,0.000466612,0.000466612,0.000466612
2,163.929,1.04047,2.05588,1.45339,0.60624,0.36098,0.36689,0.19351,1.36603,3.1474,1.97439,0.000931277,0.000931277,0.000931277
3,239.498,1.11272,1.95847,1.51469,0.29327,0.46709,0.29931,0.15014,1.54584,3.25799,2.17803,0.00138415,0.00138415,0.00138415
4,319.442,1.13859,1.91466,1.52088,0.31951,0.52625,0.2332,0.11108,1.7505,6.18899,2.47165,0.00137595,0.00137595,0.00137595
5,394.514,1.08773,1.71988,1.4895,0.35372,0.49608,0.3691,0.1747,1.7328,2.59173,2.25845,0.00135826,0.00135826,0.00135826
6,473.642,1.05698,1.62627,1.43977,0.76666,0.24696,0.40857,0.23659,1.35872,2.16033,1.90165,0.00134058,0.00134058,0.00134058
7,551.373,1.04981,1.54515,1.43907,0.25485,0.40482,0.28393,0.14017,1.70806,2.82741,2.15174,0.0013229,0.0013229,0.0013229
8,627.429,1.04155,1.48382,1.42396,0.87543,0.38865,0.64499,0.38044,1.32586,1.91494,1.77768,0.00130521,0.00130521,0.00130521
9,701.347,0.99622,1.43112,1.40459,0.66293,0.5846,0.61306,0.35936,1.37934,1.76099,1.82853,0.00128753,0.00128753,0.00128753
10,775.336,0.98017,1.35645,1.38293,0.54046,0.6803,0.65188,0.46054,1.0295,1.63681,1.46692,0.00126985,0.00126985,0.00126985
11,852.871,0.91425,1.30348,1.3314,0.62372,0.6154,0.62272,0.43397,1.05057,1.74617,1.53941,0.00125216,0.00125216,0.00125216
12,929.766,0.90717,1.21927,1.31811,0.55947,0.54298,0.55942,0.34547,1.26021,1.6788,1.68729,0.00123448,0.00123448,0.00123448
13,1003.68,0.91077,1.22716,1.34298,0.52624,0.58757,0.56953,0.37236,1.20893,1.68636,1.62545,0.00121679,0.00121679,0.00121679
14,1077.04,0.90166,1.18656,1.32504,0.72665,0.48383,0.5069,0.31593,1.13816,1.92678,1.59397,0.00119911,0.00119911,0.00119911
15,1149.6,0.86637,1.13192,1.30472,0.72266,0.44949,0.56976,0.33877,1.39434,1.60559,1.87911,0.00118143,0.00118143,0.00118143
16,1222.21,0.85732,1.1117,1.29748,0.67491,0.54135,0.6125,0.38673,1.17388,1.51199,1.71274,0.00116374,0.00116374,0.00116374
17,1293.9,0.83153,1.04042,1.28102,0.64745,0.74226,0.73191,0.51804,1.09468,1.43115,1.50805,0.00114606,0.00114606,0.00114606
18,1369.76,0.82508,1.08079,1.27225,0.67498,0.76648,0.74508,0.52593,0.98869,1.22881,1.45209,0.00112837,0.00112837,0.00112837
19,1446.19,0.79363,0.96139,1.23395,0.68122,0.6563,0.69649,0.45673,1.04134,1.34402,1.52483,0.00111069,0.00111069,0.00111069
20,1521.01,0.77774,0.99354,1.24368,0.60339,0.61896,0.62355,0.41091,1.00853,1.48896,1.54188,0.00109301,0.00109301,0.00109301
21,1600.47,0.79326,1.05146,1.26057,0.63554,0.66166,0.66885,0.46474,1.02448,1.35202,1.49654,0.00107532,0.00107532,0.00107532
22,1679.8,0.79813,0.99726,1.24503,0.65385,0.58345,0.68154,0.5036,0.97543,1.21292,1.48405,0.00105764,0.00105764,0.00105764
23,1754.09,0.76364,0.9206,1.23527,0.65358,0.65933,0.67819,0.50772,0.96398,1.33505,1.4011,0.00103995,0.00103995,0.00103995
24,1831.5,0.76005,0.91471,1.2285,0.70388,0.69951,0.74347,0.52613,0.97625,1.22837,1.43498,0.00102227,0.00102227,0.00102227
