epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.6762,1.11392,2.60563,1.54422,0.32908,0.1515,0.3398,0.1825,1.14696,3.27142,1.7157,0.000466612,0.000466612,0.000466612
2,169.955,1.06725,2.06077,1.48962,0.24759,0.3525,0.3208,0.1256,1.73902,3.24382,2.53055,0.000931277,0.000931277,0.000931277
3,243.933,1.11717,1.93916,1.51039,0.28035,0.50026,0.30626,0.14032,1.60426,3.69453,2.42197,0.00138415,0.00138415,0.00138415
4,318.115,1.09905,1.7985,1.48907,0.28189,0.45261,0.29926,0.13553,1.66221,3.57133,2.38376,0.00137595,0.00137595,0.00137595
5,392.916,1.07524,1.71567,1.46296,0.35068,0.52504,0.37845,0.18033,1.56698,2.34009,2.1095,0.00135826,0.00135826,0.00135826
6,467.302,1.06289,1.62356,1.46153,0.42797,0.53303,0.46967,0.22792,1.41639,2.2976,1.99583,0.00134058,0.00134058,0.00134058
7,541.976,1.02186,1.51859,1.42203,0.42561,0.50143,0.44597,0.21416,1.45987,2.15696,1.97851,0.0013229,0.0013229,0.0013229
8,618.377,0.97653,1.43161,1.38891,0.50539,0.59001,0.55078,0.31929,1.2956,1.75915,1.81398,0.00130521,0.00130521,0.00130521
9,693.427,0.97074,1.36388,1.37054,0.49027,0.52197,0.485,0.25451,1.44556,2.10563,2.01963,0.00128753,0.00128753,0.00128753
10,769.014,0.96951,1.31067,1.38734,0.49898,0.55259,0.47552,0.28284,1.29615,2.0979,1.93089,0.00126985,0.00126985,0.00126985
11,846.416,0.95055,1.25357,1.34189,0.54462,0.51934,0.50965,0.26279,1.48823,1.83881,2.06363,0.00125216,0.00125216,0.00125216
12,922.066,0.89846,1.21457,1.32771,0.55538,0.58193,0.5689,0.35325,1.11396,1.80056,1.64726,0.00123448,0.00123448,0.00123448
13,997.205,0.89662,1.17309,1.3246,0.52965,0.64746,0.5622,0.32702,1.13162,1.70741,1.66005,0.00121679,0.00121679,0.00121679
14,1074.73,0.89821,1.1611,1.32638,0.55103,0.6605,0.65643,0.41345,1.15067,1.52922,1.71798,0.00119911,0.00119911,0.00119911
15,1149.52,0.85227,1.09888,1.29476,0.62238,0.67456,0.69407,0.42657,1.12738,1.37887,1.66966,0.00118143,0.00118143,0.00118143
16,1224.37,0.84447,1.07461,1.28125,0.50115,0.69167,0.5935,0.35942,1.24766,1.53212,1.76438,0.00116374,0.00116374,0.00116374
