image_id,source,path,1_maturity_evaluation,2_foliar_disease,3_trunk_disease,4_crown_disease,5_petiole,label_basis
010_jpg.rf.0bceb2935b70017af4f5c8f966af09ab,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/010_jpg.rf.0bceb2935b70017af4f5c8f966af09ab.jpg,,,,,,maturity=correctness(dry/green/tender)
010_jpg.rf.438e09acddb8e73d2bbce4e8dbe080a3,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/010_jpg.rf.438e09acddb8e73d2bbce4e8dbe080a3.jpg,,,,,,maturity=correctness(dry/green/tender)
010_jpg.rf.bc166106b70d5c7392f13edb897b33fe,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/010_jpg.rf.bc166106b70d5c7392f13edb897b33fe.jpg,,,,,,maturity=correctness(dry/green/tender)
015_jpg.rf.0696ae9f97d9a7e8f642fd504e1dfccc,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/015_jpg.rf.0696ae9f97d9a7e8f642fd504e1dfccc.jpg,,,,,,maturity=correctness(dry/green/tender)
015_jpg.rf.cfbcf01b383875e14bf9c7bb8921fe08,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/015_jpg.rf.cfbcf01b383875e14bf9c7bb8921fe08.jpg,,,,,,maturity=correctness(dry/green/tender)
015_jpg.rf.f0fe9af2487360f5ade10db38a21e87a,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/015_jpg.rf.f0fe9af2487360f5ade10db38a21e87a.jpg,,,,,,maturity=correctness(dry/green/tender)
016_jpg.rf.1c75e3c14cf0b3190250b33769414d95,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/016_jpg.rf.1c75e3c14cf0b3190250b33769414d95.jpg,,,,,,maturity=correctness(dry/green/tender)
016_jpg.rf.c307f930336c424f57b36d40e9eb758a,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/016_jpg.rf.c307f930336c424f57b36d40e9eb758a.jpg,,,,,,maturity=correctness(dry/green/tender)
016_jpg.rf.e7e5eb3b47416c3c4ee2fb3aafe53aca,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/016_jpg.rf.e7e5eb3b47416c3c4ee2fb3aafe53aca.jpg,,,,,,maturity=correctness(dry/green/tender)
017_jpg.rf.56ee43ce0abdf695f5f4be4def2c97a1,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/017_jpg.rf.56ee43ce0abdf695f5f4be4def2c97a1.jpg,,,,,,maturity=correctness(dry/green/tender)
017_jpg.rf.744a099317cd7c34727ec5f74e028f51,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/017_jpg.rf.744a099317cd7c34727ec5f74e028f51.jpg,,,,,,maturity=correctness(dry/green/tender)
017_jpg.rf.d9a59ee6444d4cfbd3301079faa0dcc7,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/017_jpg.rf.d9a59ee6444d4cfbd3301079faa0dcc7.jpg,,,,,,maturity=correctness(dry/green/tender)
01_jpg.rf.9a2fdd1fbadf3f0f94e9a35bf7f28f01,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/01_jpg.rf.9a2fdd1fbadf3f0f94e9a35bf7f28f01.jpg,,,,,,maturity=correctness(dry/green/tender)
01_jpg.rf.ece606812fdb5842eb935687c6322fd3,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/01_jpg.rf.ece606812fdb5842eb935687c6322fd3.jpg,,,,,,maturity=correctness(dry/green/tender)
01_jpg.rf.fc88eede4194a104bda7f5c428b7c9b7,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/01_jpg.rf.fc88eede4194a104bda7f5c428b7c9b7.jpg,,,,,,maturity=correctness(dry/green/tender)
020_jpg.rf.934aab5db8374bbe99ef6fbc9604ff3d,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/020_jpg.rf.934aab5db8374bbe99ef6fbc9604ff3d.jpg,,,,,,maturity=correctness(dry/green/tender)
020_jpg.rf.d679d9ac81c79060983caa8ad7e149c2,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/020_jpg.rf.d679d9ac81c79060983caa8ad7e149c2.jpg,,,,,,maturity=correctness(dry/green/tender)
020_jpg.rf.f5f0998289c04ba709de12e047444934,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/020_jpg.rf.f5f0998289c04ba709de12e047444934.jpg,,,,,,maturity=correctness(dry/green/tender)
021_jpg.rf.24120bf2c217fad7ac3bcd9faaa6df6e,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/021_jpg.rf.24120bf2c217fad7ac3bcd9faaa6df6e.jpg,,,,,,maturity=correctness(dry/green/tender)
021_jpg.rf.baa2292357e865726965f74cdaf06646,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/021_jpg.rf.baa2292357e865726965f74cdaf06646.jpg,,,,,,maturity=correctness(dry/green/tender)
021_jpg.rf.da84d22087580791cf012fb2bf44cee3,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/021_jpg.rf.da84d22087580791cf012fb2bf44cee3.jpg,,,,,,maturity=correctness(dry/green/tender)
024_jpg.rf.3810930e4b3ba803033286768a43f116,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/024_jpg.rf.3810930e4b3ba803033286768a43f116.jpg,,,,,,maturity=correctness(dry/green/tender)
024_jpg.rf.986e5416dcbe8f00c94be8fa6665f743,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/024_jpg.rf.986e5416dcbe8f00c94be8fa6665f743.jpg,,,,,,maturity=correctness(dry/green/tender)
024_jpg.rf.bbb801416c7019f99906c3abac6ceef4,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/024_jpg.rf.bbb801416c7019f99906c3abac6ceef4.jpg,,,,,,maturity=correctness(dry/green/tender)
025_jpg.rf.78b5ee68f7bd9dbc2da3c7294ad61e09,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/025_jpg.rf.78b5ee68f7bd9dbc2da3c7294ad61e09.jpg,,,,,,maturity=correctness(dry/green/tender)
025_jpg.rf.b5c41140981f89faa1897dab5da34de1,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/025_jpg.rf.b5c41140981f89faa1897dab5da34de1.jpg,,,,,,maturity=correctness(dry/green/tender)
025_jpg.rf.b99075fcfa02fb6351e9b101110571ab,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/025_jpg.rf.b99075fcfa02fb6351e9b101110571ab.jpg,,,,,,maturity=correctness(dry/green/tender)
028_jpg.rf.39a688f8e971db9974b4cf1fac321bbe,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/028_jpg.rf.39a688f8e971db9974b4cf1fac321bbe.jpg,,,,,,maturity=correctness(dry/green/tender)
028_jpg.rf.81287a6187ed2da94ead99de11882007,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/028_jpg.rf.81287a6187ed2da94ead99de11882007.jpg,,,,,,maturity=correctness(dry/green/tender)
028_jpg.rf.963050a8c09b0548ba61cc53d5b7d3fd,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/028_jpg.rf.963050a8c09b0548ba61cc53d5b7d3fd.jpg,,,,,,maturity=correctness(dry/green/tender)
02_jpg.rf.1a1d0ce506e8a23fe8f78a880e1ba3e5,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/02_jpg.rf.1a1d0ce506e8a23fe8f78a880e1ba3e5.jpg,,,,,,maturity=correctness(dry/green/tender)
02_jpg.rf.51b096275a95594ba96ae00aed305efc,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/02_jpg.rf.51b096275a95594ba96ae00aed305efc.jpg,,,,,,maturity=correctness(dry/green/tender)
02_jpg.rf.8eeeccd907183fe6760b5da041c6b9eb,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/02_jpg.rf.8eeeccd907183fe6760b5da041c6b9eb.jpg,,,,,,maturity=correctness(dry/green/tender)
032_jpg.rf.08e6c4d8094a14f7de1eaf05221bedb6,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/032_jpg.rf.08e6c4d8094a14f7de1eaf05221bedb6.jpg,,,,,,maturity=correctness(dry/green/tender)
032_jpg.rf.17d881d4910f520eef369c159d9b24d6,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/032_jpg.rf.17d881d4910f520eef369c159d9b24d6.jpg,,,,,,maturity=correctness(dry/green/tender)
032_jpg.rf.195451b49cc0e25dbdfb1313f41cbbc5,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/032_jpg.rf.195451b49cc0e25dbdfb1313f41cbbc5.jpg,,,,,,maturity=correctness(dry/green/tender)
036_jpg.rf.3d9aea88a3641fc29768759cdde273b6,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/036_jpg.rf.3d9aea88a3641fc29768759cdde273b6.jpg,,,,,,maturity=correctness(dry/green/tender)
036_jpg.rf.addccd40c1011b4098a5fe7d2a6f2f09,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/036_jpg.rf.addccd40c1011b4098a5fe7d2a6f2f09.jpg,,,,,,maturity=correctness(dry/green/tender)
036_jpg.rf.b9eb4de1a97ed732ef49ac14cde556c0,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/036_jpg.rf.b9eb4de1a97ed732ef49ac14cde556c0.jpg,,,,,,maturity=correctness(dry/green/tender)
037_jpg.rf.a977f2a6befee00d208e5f50912fa5e0,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/037_jpg.rf.a977f2a6befee00d208e5f50912fa5e0.jpg,,,,,,maturity=correctness(dry/green/tender)
037_jpg.rf.b4560d431e830369954ac7096dcc35c7,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/037_jpg.rf.b4560d431e830369954ac7096dcc35c7.jpg,,,,,,maturity=correctness(dry/green/tender)
037_jpg.rf.c04a7d706c0e4af0ed71c71ad654bc9b,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/037_jpg.rf.c04a7d706c0e4af0ed71c71ad654bc9b.jpg,,,,,,maturity=correctness(dry/green/tender)
038_jpg.rf.22420cdd82d6095377a8d49061d5c2fb,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/038_jpg.rf.22420cdd82d6095377a8d49061d5c2fb.jpg,,,,,,maturity=correctness(dry/green/tender)
038_jpg.rf.7ae76cea4fb75e467a5d77be974185da,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/038_jpg.rf.7ae76cea4fb75e467a5d77be974185da.jpg,,,,,,maturity=correctness(dry/green/tender)
038_jpg.rf.9a2970f3b5c64ecba3f0085562bf2176,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/038_jpg.rf.9a2970f3b5c64ecba3f0085562bf2176.jpg,,,,,,maturity=correctness(dry/green/tender)
040_jpg.rf.2f8c9048987fc3d8cd06655c40d85a42,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/040_jpg.rf.2f8c9048987fc3d8cd06655c40d85a42.jpg,,,,,,maturity=correctness(dry/green/tender)
040_jpg.rf.4205c16498532d3986370e02b397f7ce,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/040_jpg.rf.4205c16498532d3986370e02b397f7ce.jpg,,,,,,maturity=correctness(dry/green/tender)
040_jpg.rf.e6ad0cba25d881211fcc6dee82fd8020,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/040_jpg.rf.e6ad0cba25d881211fcc6dee82fd8020.jpg,,,,,,maturity=correctness(dry/green/tender)
042_jpg.rf.13dba456d91a32c1f2ca946cc4800402,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/042_jpg.rf.13dba456d91a32c1f2ca946cc4800402.jpg,,,,,,maturity=correctness(dry/green/tender)
042_jpg.rf.7be3067652086ef8107c12d557d88f01,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/042_jpg.rf.7be3067652086ef8107c12d557d88f01.jpg,,,,,,maturity=correctness(dry/green/tender)
042_jpg.rf.b90fe9fc9b407529fa2906ee8e21ccce,coconut-veirf-v5/train,Dataset/coconut-veirf-v5/train/images/042_jpg.rf.b90fe9fc9b407529fa2906ee8e21ccce.jpg,,,,,,maturity=correctness(dry/green/tender)
